draw_number,date,day_of_week,num1,num2,num3,num4,num5,num6,additional_number,group1_prize,group1_winners,is_synthetic
3478,2019-05-27,Monday,5,9,17,21,22,32,34,0,0,False
3479,2019-05-30,Thursday,4,12,21,30,31,44,3,0,0,False
3480,2019-06-03,Monday,3,4,12,19,27,30,31,0,0,False
3481,2019-06-06,Thursday,21,24,28,31,32,38,4,0,0,False
3482,2019-06-10,Monday,10,11,15,17,19,46,4,0,0,False
3483,2019-06-13,Thursday,1,3,10,14,22,39,24,0,0,False
3484,2019-06-17,Monday,6,20,29,36,40,43,10,0,0,False
3485,2019-06-20,Thursday,8,19,25,26,29,34,7,0,0,False
3486,2019-06-24,Monday,8,17,25,32,41,48,21,0,0,False
3487,2019-06-27,Thursday,1,4,25,36,41,47,26,0,0,False
3488,2019-07-01,Monday,5,7,27,30,38,48,15,0,0,False
3489,2019-07-04,Thursday,7,9,21,34,36,45,27,0,0,False
3490,2019-07-08,Monday,9,11,22,23,24,29,49,0,0,False
3491,2019-07-11,Thursday,6,12,28,43,45,47,16,0,0,False
3492,2019-07-15,Monday,4,15,30,35,36,43,24,0,0,False
3493,2019-07-18,Thursday,14,20,25,28,31,42,9,0,0,False
3494,2019-07-22,Monday,7,23,30,34,43,47,2,0,0,False
3495,2019-07-25,Thursday,4,5,29,30,31,33,41,0,0,False
3496,2019-07-29,Monday,4,10,24,32,37,44,31,0,0,False
3497,2019-08-01,Thursday,3,8,22,30,31,48,42,0,0,False
3498,2019-08-05,Monday,4,15,16,20,21,26,18,0,0,False
3499,2019-08-08,Thursday,1,4,5,22,27,34,41,0,0,False
3500,2019-08-12,Monday,33,34,36,37,44,49,16,0,0,False
3501,2019-08-15,Thursday,3,11,27,29,40,42,1,0,0,False
